#! md-business:test-spec-tsv/v1
# タイトル: 会議室予約 検証シート（見本・大きめ）
# 文書番号: EXAMPLE-SHEET-0001
# 対象: 会議室予約サービス 1.0.0（架空）
# 版: 1.0.0
# ステータス: 実施中
#@ note これは見本です。結果 列の OK / NG は色分けの見え方を確かめるために置いた値で、誰かが確かめた記録ではありません。
#@ note No. 列は計算列（rowNumber）です。行を足しても番号は自動で振り直され、この列には打ち込めません。
#@ note 控えにしてある行が 2 件あります。表には出ませんが、ファイルには残っています。
#@ note 300 行あります。転がしたときの追従・下端の行の当たり判定・選択範囲の色・Ctrl+F の当たり方を見てください。
#@ rowid _id
#@ computed No. = rowNumber()
#@ style 結果 OK=#e7f6ec NG=#fcebec 保留=#fdf3e2
#@ colwidth 0=48 1=96 2=280 3=320 4=320 5=88 6=200 7=200
#@ align 1=center 5=center
#@ hidden r4b100000508f r4b1000010d2f
No.:number!	区分	項目:multiline!	手順:multiline!	期待結果:multiline!	結果:enum(OK|NG|保留|未実施)!	関連Issue:url	備考:multiline	_id
172	繰り返し	途中の週が埋まっている	1. 4 回のうち 1 週だけ埋まっている日程を選ぶ\n2. 確定を押す	埋まっている週を飛ばして作り、飛ばした日を知らせる	OK			r4b1000014ffd
173	表示端末	空いている部屋	1. 空いている部屋の端末を見る	次の予約までの残り時間が出て、緑に光る	OK			r4b10000151f4
174	権限	部屋をやめる	1. 使わなくなった部屋を止める\n2. 空き検索を開く	検索に出なくなる。過去の予約は残る	未実施			r4b10000153eb
175	表示	同じ時刻の予約が並ぶ	1. 同じ時刻に別々の部屋を 7 件予約する\n2. 一覧を開く	部屋の順で並び、時刻は 1 回だけ出る	OK			r4b10000155e2
176	異常系	戻るで二重に確定	1. 確定する\n2. 戻って、もう一度確定を押す	2 件目はできない	OK			r4b10000157d9
177	空き検索	15 分刻みでない時刻	1. 開始を 14:07 にする\n2. 検索を押す	検索できず、15 分刻みだと出る	NG	https://example.com/issues/376	条件によっては通ってしまう	r4b10000159d0
178	予約	最長 4 時間を超える	1. 15:00〜20:00 を選ぶ\n2. 確定を押す	確定できず、最長 4 時間だと出る	未実施		翌日まで待つ必要がある	r4b1000015bc7
179	取り消し	開始した予約	1. 開始時刻を過ぎた予約を開く\n2. 取り消しを押す	取り消せず、理由が出る	OK			r4b1000015dbe
180	繰り返し	上限を超える回数	1. 繰り返しに 70 回を入れる\n2. 確定を押す	作れず、上限 26 回だと出る	保留		確かめきれていない	r4b1000015fb5
181	表示端末	日付をまたぐ	1. 端末を開いたまま 0 時を越える	翌日の一覧に入れ替わる	OK			r4b10000161ac
182	権限	一般の人が部屋を触る	1. 一般の権限で総務の画面を開く	開けない	OK			r4b10000163a3
183	表示	画面が狭いとき	1. 窓を狭くする	表が横に転がせる。列が重ならない	OK			r4b100001659a
184	異常系	時計がずれた端末	1. 端末の時計を 7 分ずらす\n2. 予約する	サーバー側の時刻で判定される	NG	https://example.com/issues/383	直っていない	r4b1000016791
185	空き検索	終了が開始より前	1. 開始を 13:00、終了を 12:00 にする\n2. 検索を押す	検索できず、順序が逆だと出る	OK			r4b1000016988
186	予約	同じ枠を 2 つの画面から	1. 2 つの画面で同じ枠を開く\n2. 続けて確定を押す	後から押した側だけが「先に取られました」になる	保留		確かめきれていない	r4b1000016b7f
187	取り消し	代理で取り消す	1. 総務の権限で他人の予約を開く\n2. 理由を入れて取り消す	取り消され、誰が取り消したかが残る	OK			r4b1000016d76
188	繰り返し	まとめて取り消す	1. 繰り返しの 1 件を開く\n2. まとめて取り消しを選ぶ	同じまとまりの残り全部が取り消される	OK			r4b1000016f6d
189	表示端末	通信が切れる	1. 端末の通信を切る\n2. 12 分待つ	「確認中」と出て、古い予定を出したままにしない	未実施			r4b1000017164
190	権限	貸し出さない時間帯を入れる	1. 清掃の時間帯を入れる\n2. 空き検索を開く	その時間帯は空きに出なくなる	OK			r4b100001735b
191	表示	文字を大きくする	1. 表示の倍率を上げる	行の高さが揃ったまま大きくなる	OK			r4b1000017552
192	異常系	同じ人が同じ時刻に 2 部屋	1. 同じ時刻に別の部屋を 2 件予約する	できる。人の重複は見ない	NG	https://example.com/issues/391	条件によっては通ってしまう	r4b1000017749
193	空き検索	空きが無い日	1. 全部埋まっている日を選ぶ\n2. 検索を押す	「空きがありません」と出て、前後の日を勧める	未実施		翌日まで待つ必要がある	r4b1000017940
194	予約	貸し出さない時間帯	1. 清掃で止めている時間帯を選ぶ\n2. 確定を押す	そもそも空きとして出ない	OK			r4b1000017b37
195	取り消し	取り消した枠を取り直す	1. 取り消した直後に同じ枠を探す\n2. 確定を押す	空きとして出て、取り直せる	保留		確かめきれていない	r4b1000017d2e
196	繰り返し	1 件だけ取り消す	1. 繰り返しの 1 件を開く\n2. この回だけ取り消しを選ぶ	その回だけ消え、残りは残る	OK			r4b1000017f25
197	表示端末	端末の電池	1. 電池式の端末を 11 分放置する	総務の画面に残量が出る	OK			r4b100001811c
198	権限	既に予約がある時間帯を止める	1. 予約が入っている時間帯を止める	止められず、先に予約があると出る	OK			r4b1000018313
199	表示	暗い配色	1. 暗い配色に切り替える	色分けの意味が変わらず、文字が読める	NG	https://example.com/issues/398	直っていない	r4b100001850a
200	異常系	長い理由	1. 取り消しの理由に全角 60 文字を入れる\n2. 取り消す	保存される。一覧では省いて出す	OK			r4b1000018701
201	空き検索	4 人で 11 時台を探す	1. 人数に 4 を入れる\n2. 11:00〜12:00 を選ぶ\n3. 検索を押す	定員 4 人以上で空いている部屋だけが出る	保留		確かめきれていない	r4b10000188f8
202	予約	12 時台を押さえる	1. 空き枠 12:00〜13:00 を選ぶ\n2. 会議の名前を入れる\n3. 確定を押す	予約番号が出て、自分の予約一覧に並ぶ	OK			r4b1000018aef
203	取り消し	自分の予約を取り消す	1. 自分の予約を開く\n2. 取り消しを押す	一覧から消え、その枠が空きに戻る	OK			r4b1000018ce6
204	繰り返し	毎週 9 回	1. 繰り返しに毎週・9 回を選ぶ\n2. 確定を押す	9 件できて、まとめて一覧に出る	未実施			r4b1000018edd
205	表示端末	いま使われている部屋	1. 使用中の部屋の端末を見る	会議の名前と終わる時刻が出て、赤く光る	OK			r4b10000190d4
206	権限	部屋を足す	1. 総務の画面で部屋を 1 つ足す\n2. 空き検索を開く	すぐに検索の対象になる	OK			r4b10000192cb
207	表示	長い会議の名前	1. 全角 60 文字の名前で予約する\n2. 一覧を開く	一覧では折り返さず、末尾を省いて出す	NG	https://example.com/issues/406	条件によっては通ってしまう	r4b10000194c2
208	異常系	通信が切れたまま確定	1. 通信を切る\n2. 確定を押す	失敗が出る。押した内容は画面に残る	未実施		翌日まで待つ必要がある	r4b10000196b9
209	空き検索	1 階で絞る	1. 階に 1 を入れる\n2. 検索を押す	1 階の部屋だけが出る。他の階は出ない	OK			r4b10000198b0
210	予約	会議の名前が空	1. 名前を入れずに確定を押す	確定できず、名前が要ると出る	保留		確かめきれていない	r4b1000019aa7
211	取り消し	他人の予約	1. 他人の予約を開く	取り消しの操作が出ない	OK			r4b1000019c9e
212	繰り返し	途中の週が埋まっている	1. 8 回のうち 1 週だけ埋まっている日程を選ぶ\n2. 確定を押す	埋まっている週を飛ばして作り、飛ばした日を知らせる	OK			r4b1000019e95
213	表示端末	空いている部屋	1. 空いている部屋の端末を見る	次の予約までの残り時間が出て、緑に光る	OK			r4b100001a08c
214	権限	部屋をやめる	1. 使わなくなった部屋を止める\n2. 空き検索を開く	検索に出なくなる。過去の予約は残る	NG	https://example.com/issues/413	直っていない	r4b100001a283
215	表示	同じ時刻の予約が並ぶ	1. 同じ時刻に別々の部屋を 11 件予約する\n2. 一覧を開く	部屋の順で並び、時刻は 1 回だけ出る	OK			r4b100001a47a
216	異常系	戻るで二重に確定	1. 確定する\n2. 戻って、もう一度確定を押す	2 件目はできない	保留		確かめきれていない	r4b100001a671
217	空き検索	15 分刻みでない時刻	1. 開始を 9:07 にする\n2. 検索を押す	検索できず、15 分刻みだと出る	OK			r4b100001a868
218	予約	最長 4 時間を超える	1. 10:00〜15:00 を選ぶ\n2. 確定を押す	確定できず、最長 4 時間だと出る	OK			r4b100001aa5f
219	取り消し	開始した予約	1. 開始時刻を過ぎた予約を開く\n2. 取り消しを押す	取り消せず、理由が出る	未実施			r4b100001ac56
220	繰り返し	上限を超える回数	1. 繰り返しに 50 回を入れる\n2. 確定を押す	作れず、上限 26 回だと出る	OK			r4b100001ae4d
221	表示端末	日付をまたぐ	1. 端末を開いたまま 0 時を越える	翌日の一覧に入れ替わる	OK			r4b100001b044
222	権限	一般の人が部屋を触る	1. 一般の権限で総務の画面を開く	開けない	NG	https://example.com/issues/421	条件によっては通ってしまう	r4b100001b23b
223	表示	画面が狭いとき	1. 窓を狭くする	表が横に転がせる。列が重ならない	未実施		翌日まで待つ必要がある	r4b100001b432
224	異常系	時計がずれた端末	1. 端末の時計を 11 分ずらす\n2. 予約する	サーバー側の時刻で判定される	OK			r4b100001b629
225	空き検索	終了が開始より前	1. 開始を 17:00、終了を 16:00 にする\n2. 検索を押す	検索できず、順序が逆だと出る	保留		確かめきれていない	r4b100001b820
226	予約	同じ枠を 2 つの画面から	1. 2 つの画面で同じ枠を開く\n2. 続けて確定を押す	後から押した側だけが「先に取られました」になる	OK			r4b100001ba17
227	取り消し	代理で取り消す	1. 総務の権限で他人の予約を開く\n2. 理由を入れて取り消す	取り消され、誰が取り消したかが残る	OK			r4b100001bc0e
228	繰り返し	まとめて取り消す	1. 繰り返しの 1 件を開く\n2. まとめて取り消しを選ぶ	同じまとまりの残り全部が取り消される	OK			r4b100001be05
229	表示端末	通信が切れる	1. 端末の通信を切る\n2. 7 分待つ	「確認中」と出て、古い予定を出したままにしない	NG	https://example.com/issues/428	直っていない	r4b100001bffc
230	権限	貸し出さない時間帯を入れる	1. 清掃の時間帯を入れる\n2. 空き検索を開く	その時間帯は空きに出なくなる	OK			r4b100001c1f3
231	表示	文字を大きくする	1. 表示の倍率を上げる	行の高さが揃ったまま大きくなる	保留		確かめきれていない	r4b100001c3ea
232	異常系	同じ人が同じ時刻に 2 部屋	1. 同じ時刻に別の部屋を 2 件予約する	できる。人の重複は見ない	OK			r4b100001c5e1
233	空き検索	空きが無い日	1. 全部埋まっている日を選ぶ\n2. 検索を押す	「空きがありません」と出て、前後の日を勧める	OK			r4b100001c7d8
234	予約	貸し出さない時間帯	1. 清掃で止めている時間帯を選ぶ\n2. 確定を押す	そもそも空きとして出ない	未実施			r4b100001c9cf
235	取り消し	取り消した枠を取り直す	1. 取り消した直後に同じ枠を探す\n2. 確定を押す	空きとして出て、取り直せる	OK			r4b100001cbc6
236	繰り返し	1 件だけ取り消す	1. 繰り返しの 1 件を開く\n2. この回だけ取り消しを選ぶ	その回だけ消え、残りは残る	OK			r4b100001cdbd
237	表示端末	端末の電池	1. 電池式の端末を 6 分放置する	総務の画面に残量が出る	NG	https://example.com/issues/436	条件によっては通ってしまう	r4b100001cfb4
238	権限	既に予約がある時間帯を止める	1. 予約が入っている時間帯を止める	止められず、先に予約があると出る	未実施		翌日まで待つ必要がある	r4b100001d1ab
239	表示	暗い配色	1. 暗い配色に切り替える	色分けの意味が変わらず、文字が読める	OK			r4b100001d3a2
240	異常系	長い理由	1. 取り消しの理由に全角 40 文字を入れる\n2. 取り消す	保存される。一覧では省いて出す	保留		確かめきれていない	r4b100001d599
241	空き検索	4 人で 15 時台を探す	1. 人数に 4 を入れる\n2. 15:00〜16:00 を選ぶ\n3. 検索を押す	定員 4 人以上で空いている部屋だけが出る	OK			r4b100001d790
242	予約	16 時台を押さえる	1. 空き枠 16:00〜17:00 を選ぶ\n2. 会議の名前を入れる\n3. 確定を押す	予約番号が出て、自分の予約一覧に並ぶ	OK			r4b100001d987
243	取り消し	自分の予約を取り消す	1. 自分の予約を開く\n2. 取り消しを押す	一覧から消え、その枠が空きに戻る	OK			r4b100001db7e
244	繰り返し	毎週 4 回	1. 繰り返しに毎週・4 回を選ぶ\n2. 確定を押す	4 件できて、まとめて一覧に出る	NG	https://example.com/issues/443	直っていない	r4b100001dd75
245	表示端末	いま使われている部屋	1. 使用中の部屋の端末を見る	会議の名前と終わる時刻が出て、赤く光る	OK			r4b100001df6c
246	権限	部屋を足す	1. 総務の画面で部屋を 1 つ足す\n2. 空き検索を開く	すぐに検索の対象になる	保留		確かめきれていない	r4b100001e163
247	表示	長い会議の名前	1. 全角 40 文字の名前で予約する\n2. 一覧を開く	一覧では折り返さず、末尾を省いて出す	OK			r4b100001e35a
248	異常系	通信が切れたまま確定	1. 通信を切る\n2. 確定を押す	失敗が出る。押した内容は画面に残る	OK			r4b100001e551
249	空き検索	1 階で絞る	1. 階に 1 を入れる\n2. 検索を押す	1 階の部屋だけが出る。他の階は出ない	未実施			r4b100001e748
250	予約	会議の名前が空	1. 名前を入れずに確定を押す	確定できず、名前が要ると出る	OK			r4b100001e93f
251	取り消し	他人の予約	1. 他人の予約を開く	取り消しの操作が出ない	OK			r4b100001eb36
252	繰り返し	途中の週が埋まっている	1. 12 回のうち 1 週だけ埋まっている日程を選ぶ\n2. 確定を押す	埋まっている週を飛ばして作り、飛ばした日を知らせる	NG	https://example.com/issues/451	条件によっては通ってしまう	r4b100001ed2d
253	表示端末	空いている部屋	1. 空いている部屋の端末を見る	次の予約までの残り時間が出て、緑に光る	未実施		翌日まで待つ必要がある	r4b100001ef24
254	権限	部屋をやめる	1. 使わなくなった部屋を止める\n2. 空き検索を開く	検索に出なくなる。過去の予約は残る	OK			r4b100001f11b
255	表示	同じ時刻の予約が並ぶ	1. 同じ時刻に別々の部屋を 6 件予約する\n2. 一覧を開く	部屋の順で並び、時刻は 1 回だけ出る	保留		確かめきれていない	r4b100001f312
256	異常系	戻るで二重に確定	1. 確定する\n2. 戻って、もう一度確定を押す	2 件目はできない	OK			r4b100001f509
257	空き検索	15 分刻みでない時刻	1. 開始を 13:07 にする\n2. 検索を押す	検索できず、15 分刻みだと出る	OK			r4b100001f700
258	予約	最長 4 時間を超える	1. 14:00〜19:00 を選ぶ\n2. 確定を押す	確定できず、最長 4 時間だと出る	OK			r4b100001f8f7
259	取り消し	開始した予約	1. 開始時刻を過ぎた予約を開く\n2. 取り消しを押す	取り消せず、理由が出る	NG	https://example.com/issues/458	直っていない	r4b100001faee
260	繰り返し	上限を超える回数	1. 繰り返しに 30 回を入れる\n2. 確定を押す	作れず、上限 26 回だと出る	OK			r4b100001fce5
261	表示端末	日付をまたぐ	1. 端末を開いたまま 0 時を越える	翌日の一覧に入れ替わる	保留		確かめきれていない	r4b100001fedc
262	権限	一般の人が部屋を触る	1. 一般の権限で総務の画面を開く	開けない	OK			r4b10000200d3
263	表示	画面が狭いとき	1. 窓を狭くする	表が横に転がせる。列が重ならない	OK			r4b10000202ca
264	異常系	時計がずれた端末	1. 端末の時計を 6 分ずらす\n2. 予約する	サーバー側の時刻で判定される	未実施			r4b10000204c1
265	空き検索	終了が開始より前	1. 開始を 12:00、終了を 11:00 にする\n2. 検索を押す	検索できず、順序が逆だと出る	OK			r4b10000206b8
266	予約	同じ枠を 2 つの画面から	1. 2 つの画面で同じ枠を開く\n2. 続けて確定を押す	後から押した側だけが「先に取られました」になる	OK			r4b10000208af
267	取り消し	代理で取り消す	1. 総務の権限で他人の予約を開く\n2. 理由を入れて取り消す	取り消され、誰が取り消したかが残る	NG	https://example.com/issues/466	条件によっては通ってしまう	r4b1000020aa6
268	繰り返し	まとめて取り消す	1. 繰り返しの 1 件を開く\n2. まとめて取り消しを選ぶ	同じまとまりの残り全部が取り消される	未実施		翌日まで待つ必要がある	r4b1000020c9d
269	表示端末	通信が切れる	1. 端末の通信を切る\n2. 11 分待つ	「確認中」と出て、古い予定を出したままにしない	OK			r4b1000020e94
270	権限	貸し出さない時間帯を入れる	1. 清掃の時間帯を入れる\n2. 空き検索を開く	その時間帯は空きに出なくなる	保留		確かめきれていない	r4b100002108b
271	表示	文字を大きくする	1. 表示の倍率を上げる	行の高さが揃ったまま大きくなる	OK			r4b1000021282
272	異常系	同じ人が同じ時刻に 2 部屋	1. 同じ時刻に別の部屋を 2 件予約する	できる。人の重複は見ない	OK			r4b1000021479
273	空き検索	空きが無い日	1. 全部埋まっている日を選ぶ\n2. 検索を押す	「空きがありません」と出て、前後の日を勧める	OK			r4b1000021670
274	予約	貸し出さない時間帯	1. 清掃で止めている時間帯を選ぶ\n2. 確定を押す	そもそも空きとして出ない	NG	https://example.com/issues/473	直っていない	r4b1000021867
275	取り消し	取り消した枠を取り直す	1. 取り消した直後に同じ枠を探す\n2. 確定を押す	空きとして出て、取り直せる	OK			r4b1000021a5e
276	繰り返し	1 件だけ取り消す	1. 繰り返しの 1 件を開く\n2. この回だけ取り消しを選ぶ	その回だけ消え、残りは残る	保留		確かめきれていない	r4b1000021c55
277	表示端末	端末の電池	1. 電池式の端末を 10 分放置する	総務の画面に残量が出る	OK			r4b1000021e4c
278	権限	既に予約がある時間帯を止める	1. 予約が入っている時間帯を止める	止められず、先に予約があると出る	OK			r4b1000022043
279	表示	暗い配色	1. 暗い配色に切り替える	色分けの意味が変わらず、文字が読める	未実施			r4b100002223a
280	異常系	長い理由	1. 取り消しの理由に全角 90 文字を入れる\n2. 取り消す	保存される。一覧では省いて出す	OK			r4b1000022431
281	空き検索	4 人で 10 時台を探す	1. 人数に 4 を入れる\n2. 10:00〜11:00 を選ぶ\n3. 検索を押す	定員 4 人以上で空いている部屋だけが出る	OK			r4b1000022628
282	予約	11 時台を押さえる	1. 空き枠 11:00〜12:00 を選ぶ\n2. 会議の名前を入れる\n3. 確定を押す	予約番号が出て、自分の予約一覧に並ぶ	NG	https://example.com/issues/481	条件によっては通ってしまう	r4b100002281f
283	取り消し	自分の予約を取り消す	1. 自分の予約を開く\n2. 取り消しを押す	一覧から消え、その枠が空きに戻る	未実施		翌日まで待つ必要がある	r4b1000022a16
284	繰り返し	毎週 8 回	1. 繰り返しに毎週・8 回を選ぶ\n2. 確定を押す	8 件できて、まとめて一覧に出る	OK			r4b1000022c0d
285	表示端末	いま使われている部屋	1. 使用中の部屋の端末を見る	会議の名前と終わる時刻が出て、赤く光る	保留		確かめきれていない	r4b1000022e04
286	権限	部屋を足す	1. 総務の画面で部屋を 1 つ足す\n2. 空き検索を開く	すぐに検索の対象になる	OK			r4b1000022ffb
287	表示	長い会議の名前	1. 全角 90 文字の名前で予約する\n2. 一覧を開く	一覧では折り返さず、末尾を省いて出す	OK			r4b10000231f2
288	異常系	通信が切れたまま確定	1. 通信を切る\n2. 確定を押す	失敗が出る。押した内容は画面に残る	OK			r4b10000233e9
289	空き検索	1 階で絞る	1. 階に 1 を入れる\n2. 検索を押す	1 階の部屋だけが出る。他の階は出ない	NG	https://example.com/issues/488	直っていない	r4b10000235e0
290	予約	会議の名前が空	1. 名前を入れずに確定を押す	確定できず、名前が要ると出る	OK			r4b10000237d7
291	取り消し	他人の予約	1. 他人の予約を開く	取り消しの操作が出ない	保留		確かめきれていない	r4b10000239ce
292	繰り返し	途中の週が埋まっている	1. 7 回のうち 1 週だけ埋まっている日程を選ぶ\n2. 確定を押す	埋まっている週を飛ばして作り、飛ばした日を知らせる	OK			r4b1000023bc5
293	表示端末	空いている部屋	1. 空いている部屋の端末を見る	次の予約までの残り時間が出て、緑に光る	OK			r4b1000023dbc
294	権限	部屋をやめる	1. 使わなくなった部屋を止める\n2. 空き検索を開く	検索に出なくなる。過去の予約は残る	未実施			r4b1000023fb3
295	表示	同じ時刻の予約が並ぶ	1. 同じ時刻に別々の部屋を 10 件予約する\n2. 一覧を開く	部屋の順で並び、時刻は 1 回だけ出る	OK			r4b10000241aa
296	異常系	戻るで二重に確定	1. 確定する\n2. 戻って、もう一度確定を押す	2 件目はできない	OK			r4b10000243a1
297	空き検索	15 分刻みでない時刻	1. 開始を 17:07 にする\n2. 検索を押す	検索できず、15 分刻みだと出る	NG	https://example.com/issues/496	条件によっては通ってしまう	r4b1000024598
298	予約	最長 4 時間を超える	1. 9:00〜14:00 を選ぶ\n2. 確定を押す	確定できず、最長 4 時間だと出る	未実施		翌日まで待つ必要がある	r4b100002478f
299	取り消し	開始した予約	1. 開始時刻を過ぎた予約を開く\n2. 取り消しを押す	取り消せず、理由が出る	OK			r4b1000024986
300	繰り返し	上限を超える回数	1. 繰り返しに 80 回を入れる\n2. 確定を押す	作れず、上限 26 回だと出る	保留		確かめきれていない	r4b1000024b7d
